7985;27.02.20 15:00:23;10;Repair_strategy;force > max. force (8);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;142,74;1,82;0,00;0,00;
0,00;0,00;142,83;1,81;0,00;0,00;
0,00;0,00;142,93;1,81;0,00;0,00;
0,00;0,00;143,02;1,82;0,00;0,00;
0,00;0,00;143,12;1,82;0,00;0,00;
0,00;0,00;143,22;1,81;0,00;0,00;
0,00;0,00;143,31;1,83;0,00;0,00;
0,00;0,00;143,41;1,85;0,00;0,00;
0,00;0,00;143,50;1,83;0,00;0,00;
0,00;0,00;143,60;1,85;0,00;0,00;
0,00;0,00;143,70;1,87;0,00;0,00;
0,00;0,00;143,79;1,87;0,00;0,00;
0,00;0,00;143,89;1,87;0,00;0,00;
0,00;0,00;143,98;1,88;0,00;0,00;
0,00;0,00;144,08;1,89;0,00;0,00;
0,00;0,00;144,18;1,86;0,00;0,00;
0,00;0,00;144,27;1,91;0,00;0,00;
0,00;0,00;144,37;1,91;0,00;0,00;
0,00;0,00;144,46;1,88;0,00;0,00;
0,00;0,00;144,56;1,90;0,00;0,00;
0,00;0,00;144,66;1,90;0,00;0,00;
0,00;0,00;144,75;1,88;0,00;0,00;
0,00;0,00;144,85;1,90;0,00;0,00;
0,00;0,00;144,94;1,91;0,00;0,00;
0,00;0,00;145,04;1,89;0,00;0,00;
0,00;0,00;145,14;1,86;0,00;0,00;
0,00;0,00;145,23;1,88;0,00;0,00;
0,00;0,00;145,33;1,87;0,00;0,00;
0,00;0,00;145,42;1,84;0,00;0,00;
0,00;0,00;145,52;1,86;0,00;0,00;
0,00;0,00;145,62;1,84;0,00;0,00;
0,00;0,00;145,71;1,83;0,00;0,00;
0,00;0,00;145,81;1,82;0,00;0,00;
0,00;0,00;145,90;1,83;0,00;0,00;
0,00;0,00;146,00;1,80;0,00;0,00;
0,00;0,00;146,10;1,82;0,00;0,00;
0,00;0,00;146,19;1,81;0,00;0,00;
0,00;0,00;146,29;1,78;0,00;0,00;
0,00;0,00;146,38;1,78;0,00;0,00;
0,00;0,00;146,48;1,78;0,00;0,00;
0,00;0,00;146,58;1,79;0,00;0,00;
0,00;0,00;146,67;1,76;0,00;0,00;
0,00;0,00;146,77;1,75;0,00;0,00;
0,00;0,00;146,86;1,75;0,00;0,00;
0,00;0,00;146,96;1,73;0,00;0,00;
0,00;0,00;147,06;1,75;0,00;0,00;
0,00;0,00;147,15;1,75;0,00;0,00;
0,00;0,00;147,25;1,75;0,00;0,00;
0,00;0,00;147,34;1,75;0,00;0,00;
0,00;0,00;147,44;1,75;0,00;0,00;
0,00;0,00;147,54;1,75;0,00;0,00;
0,00;0,00;147,63;1,75;0,00;0,00;
0,00;0,00;147,73;1,77;0,00;0,00;
0,00;0,00;147,82;1,77;0,00;0,00;
0,00;0,00;147,92;1,78;0,00;0,00;
0,00;0,00;148,02;1,80;0,00;0,00;
0,00;0,00;148,11;1,82;0,00;0,00;
0,00;0,00;148,21;1,82;0,00;0,00;
0,00;0,00;148,30;1,85;0,00;0,00;
