7995;27.02.20 15:23:09;21;Avvicinamento Pressata Fuori Ingombro;position > max position (10);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;154,71;1,04;0,00;0,00;
0,00;0,00;154,81;1,03;0,00;0,00;
0,00;0,00;154,90;1,04;0,00;0,00;
0,00;0,00;155,00;1,03;0,00;0,00;
0,00;0,00;155,10;1,04;0,00;0,00;
0,00;0,00;155,19;1,01;0,00;0,00;
0,00;0,00;155,29;0,99;0,00;0,00;
0,00;0,00;155,38;1,00;0,00;0,00;
0,00;0,00;155,48;1,01;0,00;0,00;
0,00;0,00;155,58;0,99;0,00;0,00;
0,00;0,00;155,67;0,99;0,00;0,00;
0,00;0,00;155,77;0,99;0,00;0,00;
0,00;0,00;155,86;0,96;0,00;0,00;
0,00;0,00;155,96;0,96;0,00;0,00;
0,00;0,00;156,06;0,94;0,00;0,00;
0,00;0,00;156,15;0,92;0,00;0,00;
0,00;0,00;156,25;0,93;0,00;0,00;
0,00;0,00;156,35;0,91;0,00;0,00;
0,00;0,00;156,44;0,91;0,00;0,00;
0,00;0,00;156,54;0,88;0,00;0,00;
0,00;0,00;156,63;0,88;0,00;0,00;
0,00;0,00;156,73;0,88;0,00;0,00;
0,00;0,00;156,82;0,88;0,00;0,00;
0,00;0,00;156,92;0,88;0,00;0,00;
0,00;0,00;157,02;0,86;0,00;0,00;
0,00;0,00;157,11;0,87;0,00;0,00;
0,00;0,00;157,21;0,88;0,00;0,00;
0,00;0,00;157,30;0,86;0,00;0,00;
0,00;0,00;157,40;0,85;0,00;0,00;
0,00;0,00;157,49;0,85;0,00;0,00;
0,00;0,00;157,59;0,85;0,00;0,00;
0,00;0,00;157,69;0,84;0,00;0,00;
0,00;0,00;157,78;0,85;0,00;0,00;
0,00;0,00;157,88;0,85;0,00;0,00;
0,00;0,00;157,98;0,85;0,00;0,00;
0,00;0,00;158,07;0,86;0,00;0,00;
0,00;0,00;158,17;0,88;0,00;0,00;
0,00;0,00;158,26;0,88;0,00;0,00;
0,00;0,00;158,36;0,88;0,00;0,00;
0,00;0,00;158,46;0,90;0,00;0,00;
0,00;0,00;158,55;0,91;0,00;0,00;
0,00;0,00;158,65;0,91;0,00;0,00;
0,00;0,00;158,74;0,91;0,00;0,00;
0,00;0,00;158,84;0,91;0,00;0,00;
0,00;0,00;158,94;0,91;0,00;0,00;
0,00;0,00;159,03;0,91;0,00;0,00;
0,00;0,00;159,06;0,86;0,00;0,00;
0,00;0,00;159,06;0,85;0,00;0,00;
0,00;0,00;159,06;0,85;0,00;0,00;
0,00;0,00;159,06;0,85;0,00;0,00;
0,00;0,00;159,06;0,85;0,00;0,00;
0,00;0,00;159,06;0,85;0,00;0,00;
0,00;0,00;159,06;0,85;0,00;0,00;
0,00;0,00;159,06;0,83;0,00;0,00;
0,00;0,00;159,06;0,83;0,00;0,00;
0,00;0,00;159,06;0,82;0,00;0,00;
0,00;0,00;159,05;0,79;0,00;0,00;
0,00;0,00;159,05;0,78;0,00;0,00;
