3610;08.09.20 08:19:22;21;Avvicinamento Pressata Finale;position < min position (11);20200907145715A0211;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;271,32;0,04;0,00;0,00;
0,00;0,00;271,48;0,17;0,00;0,00;
0,00;0,00;271,64;0,52;0,00;0,00;
0,00;0,00;271,79;3,34;0,00;0,00;
0,00;0,00;271,93;7,86;0,00;0,00;
0,00;0,00;272,07;13,56;0,00;0,00;
0,00;0,00;272,21;20,08;0,00;0,00;
0,00;0,00;272,35;26,43;0,00;0,00;
0,00;0,00;272,40;28,83;0,00;0,00;
0,00;0,00;272,42;29,40;0,00;0,00;
0,00;0,00;272,43;29,88;0,00;0,00;
0,00;0,00;272,43;30,22;0,00;0,00;
0,00;0,00;272,45;31,00;0,00;0,00;
0,00;0,00;272,47;31,70;0,00;0,00;
0,00;0,00;272,47;31,70;0,00;0,00;
0,00;0,00;272,47;31,66;0,00;0,00;
0,00;0,00;272,47;31,70;0,00;0,00;
0,00;0,00;272,47;31,53;0,00;0,00;
0,00;0,00;272,47;31,53;0,00;0,00;
0,00;0,00;272,48;31,53;0,00;0,00;
0,00;0,00;272,48;31,53;0,00;0,00;
0,00;0,00;272,48;31,70;0,00;0,00;
0,00;0,00;272,48;31,70;0,00;0,00;
0,00;0,00;272,48;31,79;0,00;0,00;
0,00;0,00;272,48;31,74;0,00;0,00;
0,00;0,00;272,48;31,70;0,00;0,00;
0,00;0,00;272,48;31,61;0,00;0,00;
0,00;0,00;272,48;31,53;0,00;0,00;
0,00;0,00;272,48;31,53;0,00;0,00;
0,00;0,00;272,48;31,57;0,00;0,00;
