3677;03.02.20 14:27:45;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;199,95;19,55;0,00;0,00;
0,00;0,00;199,90;16,43;0,00;0,00;
0,00;0,00;199,49;-0,39;0,00;0,00;
0,00;0,00;198,72;-0,39;0,00;0,00;
0,00;0,00;197,54;-0,55;0,00;0,00;
0,00;0,00;195,99;-0,62;0,00;0,00;
0,00;0,00;194,07;-0,55;0,00;0,00;
0,00;0,00;191,76;-0,39;0,00;0,00;
0,00;0,00;189,42;-0,39;0,00;0,00;
0,00;0,00;187,03;-0,47;0,00;0,00;
0,00;0,00;184,61;-0,55;0,00;0,00;
0,00;0,00;182,21;-0,47;0,00;0,00;
0,00;0,00;179,81;-0,39;0,00;0,00;
0,00;0,00;177,41;-0,39;0,00;0,00;
0,00;0,00;175,01;-0,39;0,00;0,00;
0,00;0,00;172,60;-0,47;0,00;0,00;
0,00;0,00;170,20;-0,47;0,00;0,00;
0,00;0,00;167,80;-0,39;0,00;0,00;
0,00;0,00;165,40;-0,31;0,00;0,00;
0,00;0,00;163,00;-0,23;0,00;0,00;
0,00;0,00;160,60;-0,31;0,00;0,00;
0,00;0,00;158,20;-0,23;0,00;0,00;
0,00;0,00;155,80;-0,31;0,00;0,00;
0,00;0,00;153,40;-0,16;0,00;0,00;
0,00;0,00;151,00;-0,23;0,00;0,00;
0,00;0,00;148,60;-0,31;0,00;0,00;
0,00;0,00;146,20;-0,39;0,00;0,00;
0,00;0,00;143,80;-0,31;0,00;0,00;
0,00;0,00;141,40;-0,31;0,00;0,00;
0,00;0,00;139,01;-0,31;0,00;0,00;
0,00;0,00;136,60;-0,31;0,00;0,00;
0,00;0,00;134,20;-0,39;0,00;0,00;
0,00;0,00;131,80;-0,23;0,00;0,00;
0,00;0,00;129,40;-0,23;0,00;0,00;
0,00;0,00;127,01;-0,31;0,00;0,00;
0,00;0,00;124,60;-0,31;0,00;0,00;
0,00;0,00;122,20;-0,39;0,00;0,00;
0,00;0,00;119,80;-0,31;0,00;0,00;
0,00;0,00;117,40;-0,23;0,00;0,00;
0,00;0,00;115,00;-0,23;0,00;0,00;
0,00;0,00;112,60;-0,31;0,00;0,00;
0,00;0,00;110,20;-0,31;0,00;0,00;
0,00;0,00;107,80;-0,31;0,00;0,00;
0,00;0,00;105,40;-0,31;0,00;0,00;
0,00;0,00;103,01;-0,31;0,00;0,00;
0,00;0,00;100,60;-0,23;0,00;0,00;
0,00;0,00;98,20;-0,31;0,00;0,00;
0,00;0,00;95,80;-0,23;0,00;0,00;
0,00;0,00;93,40;-0,08;0,00;0,00;
0,00;0,00;91,00;-0,23;0,00;0,00;
0,00;0,00;88,60;-0,31;0,00;0,00;
0,00;0,00;86,20;-0,23;0,00;0,00;
0,00;0,00;83,80;-0,23;0,00;0,00;
0,00;0,00;81,40;-0,23;0,00;0,00;
0,00;0,00;79,01;-0,31;0,00;0,00;
0,00;0,00;76,60;-0,31;0,00;0,00;
0,00;0,00;74,20;-0,23;0,00;0,00;
0,00;0,00;71,80;-0,31;0,00;0,00;
0,00;0,00;69,40;-0,31;0,00;0,00;
0,00;0,00;67,01;-0,23;0,00;0,00;
0,00;0,00;64,60;-0,23;0,00;0,00;
0,00;0,00;62,20;-0,31;0,00;0,00;
0,00;0,00;59,80;-0,23;0,00;0,00;
0,00;0,00;57,40;-0,23;0,00;0,00;
0,00;0,00;55,00;-0,31;0,00;0,00;
0,00;0,00;52,60;-0,31;0,00;0,00;
0,00;0,00;50,20;-0,31;0,00;0,00;
0,00;0,00;47,80;-0,39;0,00;0,00;
0,00;0,00;45,40;-0,23;0,00;0,00;
0,00;0,00;43,00;-0,23;0,00;0,00;
0,00;0,00;40,60;-0,31;0,00;0,00;
0,00;0,00;38,20;-0,23;0,00;0,00;
0,00;0,00;35,80;-0,23;0,00;0,00;
0,00;0,00;33,40;-0,31;0,00;0,00;
0,00;0,00;31,00;-0,23;0,00;0,00;
0,00;0,00;28,60;-0,31;0,00;0,00;
0,00;0,00;26,21;-0,31;0,00;0,00;
0,00;0,00;23,80;-0,31;0,00;0,00;
0,00;0,00;21,40;-0,39;0,00;0,00;
0,00;0,00;19,20;-0,23;0,00;0,00;
0,00;0,00;17,37;-0,23;0,00;0,00;
0,00;0,00;15,86;-0,08;0,00;0,00;
0,00;0,00;14,75;-0,23;0,00;0,00;
0,00;0,00;14,03;-0,31;0,00;0,00;
0,00;0,00;13,68;-0,23;0,00;0,00;
0,00;0,00;13,61;-0,08;0,00;0,00;
0,00;0,00;13,58;-0,16;0,00;0,00;
