Nr;Date;ProgNr;ProgName;State;
3675;03.02.20 10:46:22;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;189,69;0,37;0,00;0,00;
0,00;0,00;189,85;0,37;0,00;0,00;
0,00;0,00;190,01;0,22;0,00;0,00;
0,00;0,00;190,17;0,30;0,00;0,00;
0,00;0,00;190,33;0,16;0,00;0,00;
0,00;0,00;190,49;0,16;0,00;0,00;
0,00;0,00;190,65;0,22;0,00;0,00;
0,00;0,00;190,81;0,30;0,00;0,00;
0,00;0,00;190,97;0,30;0,00;0,00;
0,00;0,00;191,13;0,16;0,00;0,00;
0,00;0,00;191,29;0,22;0,00;0,00;
0,00;0,00;191,45;0,37;0,00;0,00;
0,00;0,00;191,61;0,16;0,00;0,00;
0,00;0,00;191,77;0,30;0,00;0,00;
0,00;0,00;191,93;0,30;0,00;0,00;
0,00;0,00;192,09;0,22;0,00;0,00;
0,00;0,00;192,25;0,22;0,00;0,00;
0,00;0,00;192,41;0,30;0,00;0,00;
0,00;0,00;192,57;0,30;0,00;0,00;
0,00;0,00;192,73;0,22;0,00;0,00;
0,00;0,00;192,89;0,30;0,00;0,00;
0,00;0,00;193,05;0,30;0,00;0,00;
0,00;0,00;193,21;0,16;0,00;0,00;
0,00;0,00;193,37;0,22;0,00;0,00;
0,00;0,00;193,53;0,22;0,00;0,00;
0,00;0,00;193,69;0,37;0,00;0,00;
0,00;0,00;193,85;0,37;0,00;0,00;
0,00;0,00;194,01;0,37;0,00;0,00;
0,00;0,00;194,17;0,22;0,00;0,00;
0,00;0,00;194,33;0,30;0,00;0,00;
0,00;0,00;194,49;0,22;0,00;0,00;
0,00;0,00;194,65;0,16;0,00;0,00;
0,00;0,00;194,81;0,22;0,00;0,00;
0,00;0,00;194,97;0,16;0,00;0,00;
0,00;0,00;195,13;0,30;0,00;0,00;
0,00;0,00;195,29;0,22;0,00;0,00;
0,00;0,00;195,45;0,22;0,00;0,00;
0,00;0,00;195,61;0,16;0,00;0,00;
0,00;0,00;195,77;0,16;0,00;0,00;
0,00;0,00;195,93;0,30;0,00;0,00;
0,00;0,00;196,09;0,22;0,00;0,00;
0,00;0,00;196,25;0,22;0,00;0,00;
0,00;0,00;196,41;0,22;0,00;0,00;
0,00;0,00;196,57;0,16;0,00;0,00;
0,00;0,00;196,73;0,22;0,00;0,00;
0,00;0,00;196,89;0,30;0,00;0,00;
0,00;0,00;197,04;5,47;0,00;0,00;
0,00;0,00;197,13;11,87;0,00;0,00;
0,00;0,00;197,14;11,49;0,00;0,00;
0,00;0,00;197,14;12,10;0,00;0,00;
0,00;0,00;197,15;12,40;0,00;0,00;
0,00;0,00;197,15;12,63;0,00;0,00;
0,00;0,00;197,15;12,63;0,00;0,00;
