8166;13.03.20 11:51:22;22;Avvicinamento pre-pressata pressata Fuori Ingombro;Alcun errore (0);20200312175444P    1;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;147,02;1,00;0,00;0,00;
0,00;0,00;147,14;1,03;0,00;0,00;
0,00;0,00;147,25;1,01;0,00;0,00;
0,00;0,00;147,36;1,01;0,00;0,00;
0,00;0,00;147,47;1,00;0,00;0,00;
0,00;0,00;147,59;0,97;0,00;0,00;
0,00;0,00;147,70;0,97;0,00;0,00;
0,00;0,00;147,81;0,97;0,00;0,00;
0,00;0,00;147,92;0,96;0,00;0,00;
0,00;0,00;148,03;0,99;0,00;0,00;
0,00;0,00;148,15;0,97;0,00;0,00;
0,00;0,00;148,26;0,97;0,00;0,00;
0,00;0,00;148,37;0,95;0,00;0,00;
0,00;0,00;148,48;0,95;0,00;0,00;
0,00;0,00;148,59;0,95;0,00;0,00;
0,00;0,00;148,70;0,94;0,00;0,00;
0,00;0,00;148,82;0,96;0,00;0,00;
0,00;0,00;148,93;0,96;0,00;0,00;
0,00;0,00;149,04;0,95;0,00;0,00;
0,00;0,00;149,15;0,94;0,00;0,00;
0,00;0,00;149,27;0,93;0,00;0,00;
0,00;0,00;149,38;0,93;0,00;0,00;
0,00;0,00;149,49;0,96;0,00;0,00;
0,00;0,00;149,60;0,95;0,00;0,00;
0,00;0,00;149,71;0,95;0,00;0,00;
0,00;0,00;149,83;0,93;0,00;0,00;
0,00;0,00;149,94;0,94;0,00;0,00;
0,00;0,00;150,05;0,96;0,00;0,00;
0,00;0,00;150,16;0,96;0,00;0,00;
0,00;0,00;150,27;1,00;0,00;0,00;
0,00;0,00;150,39;0,99;0,00;0,00;
0,00;0,00;150,50;1,00;0,00;0,00;
0,00;0,00;150,61;0,99;0,00;0,00;
0,00;0,00;150,72;1,00;0,00;0,00;
0,00;0,00;150,83;0,99;0,00;0,00;
0,00;0,00;150,94;0,99;0,00;0,00;
0,00;0,00;151,06;1,01;0,00;0,00;
0,00;0,00;151,17;1,00;0,00;0,00;
0,00;0,00;151,28;1,00;0,00;0,00;
0,00;0,00;151,39;1,01;0,00;0,00;
0,00;0,00;151,50;1,00;0,00;0,00;
0,00;0,00;151,62;0,99;0,00;0,00;
0,00;0,00;151,73;0,97;0,00;0,00;
0,00;0,00;151,84;0,99;0,00;0,00;
0,00;0,00;151,95;0,99;0,00;0,00;
0,00;0,00;152,07;0,97;0,00;0,00;
0,00;0,00;152,18;0,97;0,00;0,00;
0,00;0,00;152,29;0,97;0,00;0,00;
0,00;0,00;152,40;0,99;0,00;0,00;
0,00;0,00;152,51;0,98;0,00;0,00;
0,00;0,00;152,62;0,97;0,00;0,00;
0,00;0,00;152,74;0,96;0,00;0,00;
0,00;0,00;152,85;0,96;0,00;0,00;
0,00;0,00;152,96;0,96;0,00;0,00;
0,00;0,00;153,07;0,95;0,00;0,00;
0,00;0,00;153,19;0,94;0,00;0,00;
0,00;0,00;153,30;0,96;0,00;0,00;
0,00;0,00;153,41;0,98;0,00;0,00;
0,00;0,00;153,52;0,98;0,00;0,00;
0,00;0,00;153,63;0,98;0,00;0,00;
0,00;0,00;153,74;0,99;0,00;0,00;
0,00;0,00;153,86;0,97;0,00;0,00;
0,00;0,00;153,97;0,96;0,00;0,00;
0,00;0,00;154,08;0,97;0,00;0,00;
0,00;0,00;154,19;0,99;0,00;0,00;
0,00;0,00;154,30;0,98;0,00;0,00;
0,00;0,00;154,42;0,98;0,00;0,00;
0,00;0,00;154,53;0,99;0,00;0,00;
0,00;0,00;154,64;0,99;0,00;0,00;
0,00;0,00;154,75;0,98;0,00;0,00;
0,00;0,00;154,87;0,97;0,00;0,00;
0,00;0,00;154,98;0,96;0,00;0,00;
0,00;0,00;155,09;0,97;0,00;0,00;
0,00;0,00;155,20;0,96;0,00;0,00;
0,00;0,00;155,31;0,96;0,00;0,00;
0,00;0,00;155,43;0,98;0,00;0,00;
0,00;0,00;155,54;0,99;0,00;0,00;
0,00;0,00;155,65;0,97;0,00;0,00;
0,00;0,00;155,76;0,98;0,00;0,00;
0,00;0,00;155,87;0,97;0,00;0,00;
0,00;0,00;155,99;0,96;0,00;0,00;
0,00;0,00;156,10;0,96;0,00;0,00;
0,00;0,00;156,21;0,95;0,00;0,00;
0,00;0,00;156,32;0,96;0,00;0,00;
0,00;0,00;156,43;0,96;0,00;0,00;
0,00;0,00;156,54;0,96;0,00;0,00;
0,00;0,00;156,66;0,97;0,00;0,00;
0,00;0,00;156,77;0,96;0,00;0,00;
0,00;0,00;156,88;0,96;0,00;0,00;
0,00;0,00;156,99;0,94;0,00;0,00;
0,00;0,00;157,10;0,96;0,00;0,00;
0,00;0,00;157,22;0,94;0,00;0,00;
0,00;0,00;157,33;0,93;0,00;0,00;
0,00;0,00;157,44;0,91;0,00;0,00;
0,00;0,00;157,55;0,93;0,00;0,00;
0,00;0,00;157,67;0,93;0,00;0,00;
0,00;0,00;157,78;0,93;0,00;0,00;
0,00;0,00;157,89;0,93;0,00;0,00;
0,00;0,00;158,00;0,93;0,00;0,00;
0,00;0,00;158,11;0,91;0,00;0,00;
0,00;0,00;158,23;0,91;0,00;0,00;
0,00;0,00;158,34;0,90;0,00;0,00;
0,00;0,00;158,45;0,92;0,00;0,00;
0,00;0,00;158,56;0,93;0,00;0,00;
0,00;0,00;158,67;0,93;0,00;0,00;
0,00;0,00;158,79;0,94;0,00;0,00;
0,00;0,00;158,90;0,93;0,00;0,00;
0,00;0,00;159,01;0,93;0,00;0,00;
0,00;0,00;159,12;0,94;0,00;0,00;
0,00;0,00;159,23;0,93;0,00;0,00;
0,00;0,00;159,34;0,94;0,00;0,00;
0,00;0,00;159,46;0,94;0,00;0,00;
0,00;0,00;159,57;0,93;0,00;0,00;
0,00;0,00;159,68;0,94;0,00;0,00;
0,00;0,00;159,79;0,93;0,00;0,00;
0,00;0,00;159,90;0,94;0,00;0,00;
0,00;0,00;160,02;0,93;0,00;0,00;
0,00;0,00;160,13;0,94;0,00;0,00;
0,00;0,00;160,24;0,94;0,00;0,00;
0,00;0,00;160,35;0,95;0,00;0,00;
0,00;0,00;160,46;0,96;0,00;0,00;
0,00;0,00;160,58;0,95;0,00;0,00;
0,00;0,00;160,67;2,53;0,00;0,00;
0,00;0,00;160,76;4,56;0,00;0,00;
0,00;0,00;160,77;4,85;0,00;0,00;
0,00;0,00;160,78;4,94;0,00;0,00;
0,00;0,00;160,79;5,02;0,00;0,00;
0,00;0,00;160,79;5,09;0,00;0,00;
0,00;0,00;160,79;5,15;0,00;0,00;
0,00;0,00;160,79;5,17;0,00;0,00;
0,00;0,00;160,76;4,40;0,00;0,00;
0,00;0,00;160,29;0,03;0,00;0,00;
0,00;0,00;159,22;-0,01;0,00;0,00;
0,00;0,00;157,65;-0,01;0,00;0,00;
0,00;0,00;155,57;-0,01;0,00;0,00;
0,00;0,00;153,00;-0,05;0,00;0,00;
0,00;0,00;149,91;-0,04;0,00;0,00;
0,00;0,00;146,43;-0,04;0,00;0,00;
0,00;0,00;142,92;-0,04;0,00;0,00;
0,00;0,00;139,39;-0,02;0,00;0,00;
0,00;0,00;135,87;-0,03;0,00;0,00;
0,00;0,00;132,35;-0,01;0,00;0,00;
0,00;0,00;128,83;-0,04;0,00;0,00;
0,00;0,00;125,31;-0,01;0,00;0,00;
0,00;0,00;121,79;-0,02;0,00;0,00;
0,00;0,00;118,27;-0,01;0,00;0,00;
0,00;0,00;114,75;-0,02;0,00;0,00;
0,00;0,00;111,23;-0,01;0,00;0,00;
0,00;0,00;107,71;-0,01;0,00;0,00;
0,00;0,00;104,19;-0,02;0,00;0,00;
0,00;0,00;100,67;-0,02;0,00;0,00;
0,00;0,00;97,15;-0,01;0,00;0,00;
0,00;0,00;93,63;-0,01;0,00;0,00;
0,00;0,00;90,11;-0,03;0,00;0,00;
0,00;0,00;83,07;-0,01;0,00;0,00;
0,00;0,00;79,55;-0,02;0,00;0,00;
0,00;0,00;76,03;-0,03;0,00;0,00;
0,00;0,00;72,51;-0,01;0,00;0,00;
0,00;0,00;68,99;-0,03;0,00;0,00;
0,00;0,00;65,47;-0,03;0,00;0,00;
0,00;0,00;61,95;-0,02;0,00;0,00;
0,00;0,00;58,43;-0,02;0,00;0,00;
0,00;0,00;54,92;-0,03;0,00;0,00;
0,00;0,00;51,39;-0,02;0,00;0,00;
0,00;0,00;47,87;-0,02;0,00;0,00;
0,00;0,00;44,35;-0,03;0,00;0,00;
0,00;0,00;40,83;-0,01;0,00;0,00;
0,00;0,00;37,31;-0,01;0,00;0,00;
0,00;0,00;33,80;-0,03;0,00;0,00;
0,00;0,00;30,27;-0,01;0,00;0,00;
0,00;0,00;26,76;-0,01;0,00;0,00;
0,00;0,00;23,67;-0,01;0,00;0,00;
0,00;0,00;21,04;0,01;0,00;0,00;
0,00;0,00;18,93;0,01;0,00;0,00;
0,00;0,00;15,62;0,01;0,00;0,00;
