17926;23.03.21 14:07:56;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);20210323083700P0037;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;104,16;-0,01;0,00;0,00;
0,00;0,00;100,64;-0,01;0,00;0,00;
0,00;0,00;97,12;-0,03;0,00;0,00;
0,00;0,00;93,60;-0,04;0,00;0,00;
0,00;0,00;90,09;-0,02;0,00;0,00;
0,00;0,00;83,04;-0,01;0,00;0,00;
0,00;0,00;79,52;-0,01;0,00;0,00;
0,00;0,00;76,00;-0,03;0,00;0,00;
0,00;0,00;72,48;-0,02;0,00;0,00;
0,00;0,00;65,44;-0,01;0,00;0,00;
0,00;0,00;61,92;-0,01;0,00;0,00;
0,00;0,00;58,40;-0,04;0,00;0,00;
0,00;0,00;54,88;-0,03;0,00;0,00;
0,00;0,00;51,36;-0,01;0,00;0,00;
0,00;0,00;47,84;-0,02;0,00;0,00;
0,00;0,00;44,32;-0,02;0,00;0,00;
0,00;0,00;40,80;-0,01;0,00;0,00;
0,00;0,00;37,28;-0,02;0,00;0,00;
0,00;0,00;33,76;-0,03;0,00;0,00;
0,00;0,00;30,53;-0,01;0,00;0,00;
0,00;0,00;27,77;0,01;0,00;0,00;
0,00;0,00;25,51;0,01;0,00;0,00;
0,00;0,00;23,76;0,01;0,00;0,00;
0,00;0,00;22,51;0,02;0,00;0,00;
0,00;0,00;21,76;0,02;0,00;0,00;
0,00;0,00;21,51;0,02;0,00;0,00;
0,00;0,00;21,49;0,01;0,00;0,00;
