3943;17.02.20 16:46:57;21;Avvicinamento Pressata Fuori Ingombro;Alcun errore (0);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;192,25;3,27;0,00;0,00;
0,00;0,00;192,41;3,35;0,00;0,00;
0,00;0,00;192,57;3,50;0,00;0,00;
0,00;0,00;192,73;3,50;0,00;0,00;
0,00;0,00;192,89;3,58;0,00;0,00;
0,00;0,00;193,05;3,72;0,00;0,00;
0,00;0,00;193,21;3,72;0,00;0,00;
0,00;0,00;193,37;3,88;0,00;0,00;
0,00;0,00;193,53;3,88;0,00;0,00;
0,00;0,00;193,69;4,11;0,00;0,00;
0,00;0,00;193,85;4,11;0,00;0,00;
0,00;0,00;194,01;4,19;0,00;0,00;
0,00;0,00;194,17;4,19;0,00;0,00;
0,00;0,00;194,33;4,33;0,00;0,00;
0,00;0,00;194,49;4,49;0,00;0,00;
0,00;0,00;194,65;4,56;0,00;0,00;
0,00;0,00;194,81;4,80;0,00;0,00;
0,00;0,00;194,97;4,80;0,00;0,00;
0,00;0,00;195,13;4,80;0,00;0,00;
0,00;0,00;195,29;5,02;0,00;0,00;
0,00;0,00;195,45;5,09;0,00;0,00;
0,00;0,00;195,61;5,09;0,00;0,00;
0,00;0,00;195,77;5,33;0,00;0,00;
0,00;0,00;195,93;5,33;0,00;0,00;
0,00;0,00;196,09;5,40;0,00;0,00;
0,00;0,00;196,25;5,40;0,00;0,00;
0,00;0,00;196,41;5,64;0,00;0,00;
0,00;0,00;196,57;5,72;0,00;0,00;
0,00;0,00;196,73;5,72;0,00;0,00;
0,00;0,00;196,89;5,86;0,00;0,00;
0,00;0,00;197,05;6,01;0,00;0,00;
0,00;0,00;197,21;6,09;0,00;0,00;
0,00;0,00;197,37;6,09;0,00;0,00;
0,00;0,00;197,53;6,25;0,00;0,00;
0,00;0,00;197,69;6,39;0,00;0,00;
0,00;0,00;197,85;6,46;0,00;0,00;
0,00;0,00;198,01;6,54;0,00;0,00;
0,00;0,00;198,17;6,62;0,00;0,00;
0,00;0,00;198,33;6,62;0,00;0,00;
0,00;0,00;198,49;6,70;0,00;0,00;
0,00;0,00;198,65;6,93;0,00;0,00;
0,00;0,00;198,81;6,93;0,00;0,00;
0,00;0,00;198,97;6,99;0,00;0,00;
0,00;0,00;199,13;6,99;0,00;0,00;
0,00;0,00;199,29;7,15;0,00;0,00;
0,00;0,00;199,45;7,23;0,00;0,00;
0,00;0,00;199,61;7,23;0,00;0,00;
0,00;0,00;199,77;7,30;0,00;0,00;
0,00;0,00;199,93;7,38;0,00;0,00;
0,00;0,00;199,94;6,39;0,00;0,00;
0,00;0,00;199,95;6,85;0,00;0,00;
0,00;0,00;199,90;4,25;0,00;0,00;
0,00;0,00;199,46;-0,31;0,00;0,00;
0,00;0,00;198,69;-0,31;0,00;0,00;
0,00;0,00;197,53;-0,39;0,00;0,00;
0,00;0,00;195,99;-0,53;0,00;0,00;
0,00;0,00;194,06;-0,39;0,00;0,00;
0,00;0,00;191,75;-0,39;0,00;0,00;
0,00;0,00;189,41;-0,39;0,00;0,00;
0,00;0,00;187,02;-0,39;0,00;0,00;
0,00;0,00;184,61;-0,37;0,00;0,00;
0,00;0,00;182,21;-0,45;0,00;0,00;
0,00;0,00;179,81;-0,31;0,00;0,00;
0,00;0,00;177,40;-0,39;0,00;0,00;
0,00;0,00;175,01;-0,31;0,00;0,00;
0,00;0,00;172,60;-0,31;0,00;0,00;
0,00;0,00;170,20;-0,39;0,00;0,00;
0,00;0,00;167,80;-0,23;0,00;0,00;
0,00;0,00;165,40;-0,23;0,00;0,00;
0,00;0,00;163,01;-0,31;0,00;0,00;
0,00;0,00;160,60;-0,31;0,00;0,00;
0,00;0,00;158,20;-0,23;0,00;0,00;
0,00;0,00;155,80;-0,16;0,00;0,00;
0,00;0,00;153,40;-0,16;0,00;0,00;
0,00;0,00;151,00;-0,23;0,00;0,00;
0,00;0,00;148,60;-0,31;0,00;0,00;
0,00;0,00;146,20;-0,16;0,00;0,00;
0,00;0,00;143,80;-0,16;0,00;0,00;
0,00;0,00;141,40;-0,16;0,00;0,00;
0,00;0,00;139,01;-0,16;0,00;0,00;
0,00;0,00;136,60;-0,08;0,00;0,00;
0,00;0,00;134,20;-0,31;0,00;0,00;
0,00;0,00;131,80;-0,23;0,00;0,00;
0,00;0,00;129,40;-0,23;0,00;0,00;
0,00;0,00;127,00;-0,31;0,00;0,00;
0,00;0,00;124,60;-0,31;0,00;0,00;
0,00;0,00;122,20;-0,31;0,00;0,00;
0,00;0,00;119,80;-0,23;0,00;0,00;
