3376;14.01.20 15:09:29;22;Avvicinamento pre-pressata pressata Fuori Ingombro;force < min. force (9);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;196,81;0,30;0,00;0,00;
0,00;0,00;196,97;0,30;0,00;0,00;
0,00;0,00;197,13;0,30;0,00;0,00;
0,00;0,00;197,29;0,22;0,00;0,00;
0,00;0,00;197,45;0,30;0,00;0,00;
0,00;0,00;197,61;0,30;0,00;0,00;
0,00;0,00;197,77;0,30;0,00;0,00;
0,00;0,00;197,93;0,22;0,00;0,00;
0,00;0,00;198,09;0,30;0,00;0,00;
0,00;0,00;198,25;0,30;0,00;0,00;
0,00;0,00;198,41;0,30;0,00;0,00;
0,00;0,00;198,57;0,30;0,00;0,00;
0,00;0,00;198,73;0,30;0,00;0,00;
0,00;0,00;198,89;0,30;0,00;0,00;
0,00;0,00;199,05;0,30;0,00;0,00;
0,00;0,00;199,21;0,30;0,00;0,00;
0,00;0,00;199,37;0,30;0,00;0,00;
0,00;0,00;199,53;0,30;0,00;0,00;
0,00;0,00;199,69;0,30;0,00;0,00;
0,00;0,00;199,85;0,30;0,00;0,00;
0,00;0,00;199,96;0,14;0,00;0,00;
0,00;0,00;199,96;0,06;0,00;0,00;
0,00;0,00;199,96;0,06;0,00;0,00;
0,00;0,00;199,96;0,30;0,00;0,00;
0,00;0,00;199,96;0,14;0,00;0,00;
0,00;0,00;199,96;0,22;0,00;0,00;
0,00;0,00;199,96;0,30;0,00;0,00;
0,00;0,00;199,96;0,14;0,00;0,00;
0,00;0,00;199,96;0,22;0,00;0,00;
0,00;0,00;199,96;0,14;0,00;0,00;
0,00;0,00;199,96;0,30;0,00;0,00;
0,00;0,00;199,96;0,30;0,00;0,00;
0,00;0,00;199,96;0,30;0,00;0,00;
